ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607211600,207.54,207.51,207.55,207.48,34851,7233954,2.32,-0.01
TSLA.US,202607211600,379.07,378.89,379.28,378.86,513891,194777342,-0.51,-0.05
